WEIGHT(N),HEIGHT(mm),HEAD CIRCUMFERENCE(mm),SHOULDER BREADTH(mm),HAND LENGTH(mm),CHEST CIRCUMFERENCE(mm),WAIST CIRCUMFERENCE(mm),SLEEVE LENGTH(mm),AGE (months)
256,1278,505,298,138,602,553,352,120
282,1304,526,344,142,635,567,338,120
286,1304,504,317,142,628,565,351.5,120
279,1319,519,324,148,624,555,349.5,120
294,1346,542,332,154,680,571,353,120
270,1349,525,300,144,594,545,380.5,120
351,1363,528,358,150,734,611,352.5,120
304,1365,512,317,147,639,556,377,120
278,1366,534,305,146,605,539,384.5,120
365,1415,532,353,144,672,608,387,120
327,1415,529,341,160,677,554,377,120
365,1436,535,353,165,715,575,376.5,120
390,1448,509,353,159,712,643,388.5,120
407,1452,539,362,153,715,675,392,120
264,1323,538,319,132,642,548,370,121
402,1362,529,369,149,754,685,347.5,121
414,1398,534,361,146,759,697,372.5,121
284,1413,517,322,156,640,577,389.5,121
334,1442,508,342,160,657,606,390,121
250,1338,496,294,147,606,535,375,122
281,1363,522,314,152,631,553,372.5,122
262,1367,550,300,145,629,539,388.5,122
298,1368,542,324,149,652,558,373,122
329,1391,520,337,155,679,570,372,122
309,1441,534,325,156,675,596,402,122
334,1443,541,329,158,653,586,399,122
366,1476,527,359,159,699,625,399.5,122
388,1521,534,354,160,722,625,423.5,122
426,1533,568,354,171,729,651,418.5,122
254,1329,511,293,142,604,540,376,123
383,1358,551,350,165,770,662,339,123
311,1363,512,322,149,665,613,371.5,123
307,1386,556,341,157,693,544,365.5,123
311,1394,522,343,148,667,565,377.5,123
337,1441,517,321,158,632,548,402,123
400,1306,520,367,141,839,793,328.5,124
341,1331,533,321,150,705,689,355,124
301,1339,537,305,136,672,558,381,124
318,1340,530,329,142,714,602,363.5,124
468,1347,517,340,144,706,682,359.5,124
293,1368,511,323,144,664,563,378.5,124
320,1368,513,352,153,659,610,355,124
326,1376,529,321,157,641,591,370.5,124
323,1381,517,332,149,688,567,375.5,124
449,1381,561,376,148,817,832,354.5,124
388,1400,533,378,158,715,657,353,124
481,1429,550,387,152,770,757,369,124
335,1440,541,322,159,688,595,400,124
355,1440,535,359,156,709,639,384.5,124
338,1486,536,334,156,659,594,420,124
449,1548,552,357,162,736,666,433.5,124
277,1306,508,332,150,646,565,337,125
295,1381,541,308,154,631,512,382.5,125
290,1396,532,307,155,634,560,389.5,125
352,1406,527,333,148,693,653,388.5,125
282,1411,522,325,144,640,559,399,125
386,1420,541,357,162,728,680,369.5,125
448,1460,549,379,162,757,695,378.5,125
470,1462,538,376,164,774,679,379,125
483,1559,550,369,169,785,709,426,125
286,1374,510,322,135,639,516,391,126
315,1382,541,324,146,670,604,383,126
341,1423,544,349,152,720,641,385,126
429,1436,543,356,154,746,665,386,126
592,1449,559,396,162,831,873,364.5,126
391,1470,542,368,165,709,665,386,126
449,1485,555,352,153,764,747,413.5,126
303,1315,563,329,141,654,593,352,127
311,1322,540,328,138,660,629,359,127
316,1351,538,325,147,674,590,366,127
321,1387,529,340,147,686,569,376.5,127
316,1416,532,433,150,651,597,341.5,127
344,1421,534,327,156,643,639,391,127
370,1427,535,343,151,691,652,391,127
341,1444,517,329,156,655,601,401.5,127
268,1307,528,307,148,630,533,352,128
344,1347,536,337,148,695,588,357,128
269,1364,526,296,144,641,527,390,128
313,1385,526,320,158,648,593,374.5,128
316,1398,506,327,154,633,550,381.5,128
306,1401,545,335,155,667,556,378,128
365,1434,545,350,143,691,591,399,128
429,1438,541,360,155,747,721,384,128
514,1464,529,406,166,841,833,363,128
448,1477,543,385,152,803,690,394,128
324,1331,528,354,143,742,596,345.5,129
315,1389,536,321,149,715,595,385,129
288,1395,504,322,147,636,548,389.5,129
375,1400,552,337,147,689,615,384.5,129
351,1404,521,332,150,693,625,386,129
363,1431,532,345,150,725,625,393,129
369,1433,522,346,162,700,655,381.5,129
370,1434,529,341,161,718,675,385.5,129
321,1437,541,312,152,637,596,410.5,129
358,1443,546,342,157,652,617,393.5,129
320,1457,531,355,155,660,593,396,129
505,1463,556,410,168,835,812,358.5,129
338,1478,531,324,154,681,616,423,129
488,1530,566,398,167,798,696,399,129
317,1363,542,297,164,645,591,369,130
302,1369,516,326,136,633,564,385.5,130
410,1374,529,342,141,727,743,375,130
383,1385,534,337,159,704,629,365,130
268,1396,519,318,144,642,506,395,130
287,1405,526,320,157,648,570,385.5,130
322,1410,548,332,152,677,574,387,130
447,1415,547,381,168,785,758,349,130
329,1424,551,338,170,674,563,373,130
317,1426,519,319,153,663,580,400.5,130
327,1437,516,322,158,677,593,399.5,130
441,1450,553,370,162,763,725,378,130
579,1458,544,399,152,881,886,377.5,130
461,1476,533,377,167,773,750,382.5,130
468,1496,575,374,174,768,746,387,130
263,1322,517,309,137,640,507,369.5,131
298,1398,510,330,142,676,564,392,131
342,1406,517,348,153,723,602,376,131
400,1414,512,354,152,732,664,378,131
335,1429,526,323,149,636,609,404,131
418,1442,547,353,163,754,646,381.5,131
295,1442,531,302,159,624,550,411,131
